DK1;DK2;EE;FI;LT;LV;NO;SE
2049;1559;975;12354;991;781;18963;18913
1920;1435;939;12037;942;733;18402;18486
1849;1358;931;11845;909;711;17989;18260
1805;1343;922;11746;900;702;17753;17974
1794;1333;919;11724;893;706;17686;18055
1809;1331;941;11859;916;729;17736;18068
1861;1347;984;12145;987;778;17856;18314
2018;1434;1038;12155;1074;844;18222;18862
2205;1566;1075;12511;1141;908;18761;19483
2391;1706;1145;12593;1230;971;19620;20211
2501;1851;1180;12757;1294;1005;20210;20798
2620;1943;1176;12815;1311;1015;20657;21368
2643;1984;1161;12733;1308;1002;20611;21373
2616;1970;1146;12588;1294;990;20491;21175
2568;1979;1139;12528;1265;981;20297;20923
2586;1971;1143;12686;1249;974;20171;20844
2580;1982;1205;13270;1280;1013;20341;21256
2720;2115;1269;13703;1407;1096;20734;21970
2961;2262;1234;13808;1410;1094;20928;22356
2864;2222;1220;13627;1366;1067;20806;21831
2640;2074;1180;13140;1311;1040;20340;21178
2473;1962;1128;12806;1239;991;19899;20583
2339;1845;1069;12982;1135;915;19422;19952
2230;1749;1013;12927;1035;837;18944;19520
2078;1646;963;12551;954;774;18403;18713
1968;1550;923;12182;899;734;17936;17898
1891;1472;906;11977;871;708;17639;17685
1852;1446;906;11799;855;697;17404;17485
1818;1429;903;11881;849;699;17351;17414
1843;1427;918;11955;868;720;17337;17487
1885;1458;949;12081;923;763;17433;17687
1984;1511;995;11984;989;816;17683;18151
2176;1635;1037;12259;1040;866;17946;18570
2341;1758;1099;12348;1123;929;18460;19117
2494;1878;1143;12483;1199;975;18991;19887
2556;1964;1145;12661;1215;981;19591;20497
2623;2009;1129;12635;1208;972;19733;20731
2619;2017;1114;12474;1195;970;19810;20700
2591;1998;1105;12324;1181;963;19658;20845
2573;1994;1113;12424;1174;960;19729;20582
2607;2024;1170;12901;1220;1000;19856;21066
2773;2135;1242;13249;1373;1108;20260;21883
3029;2302;1231;13323;1391;1116;20351;22415
2954;2274;1216;13253;1366;1104;20119;22316
2796;2153;1191;13024;1314;1084;19934;21922
2606;2003;1144;12690;1233;1036;19758;21392
2476;1885;1060;12974;1109;949;19556;20776
2297;1755;993;12935;992;860;18936;19667
2166;1612;948;12544;913;773;18263;18736
2066;1501;918;12312;868;733;17717;18197
2004;1445;904;12142;859;717;17458;17806
1974;1411;907;12078;855;708;17298;17835
1989;1439;906;12219;866;720;17318;17922
2055;1484;956;12615;928;769;17471;18223
2223;1569;1078;13599;1170;898;18053;19248
2643;1815;1241;13941;1388;1075;19566;21325
3161;2149;1342;14221;1500;1191;21469;23225
3345;2266;1374;14102;1550;1235;22240;23679
3331;2313;1370;14032;1548;1231;22058;23679
3391;2313;1357;14019;1526;1220;21800;23671
3409;2333;1333;13887;1494;1175;21639;23711
3316;2339;1338;13718;1496;1192;21576;23670
3314;2319;1321;13651;1473;1186;21590;23243
3279;2310;1308;13452;1464;1174;21457;23346
3171;2250;1332;13620;1470;1201;21485;23445
3254;2326;1372;13894;1558;1258;21799;23862
3500;2477;1351;13841;1566;1246;21813;24267
3336;2401;1326;13894;1514;1210;21484;23886
3124;2267;1297;13656;1454;1170;21175;23277
2907;2098;1234;13104;1353;1112;20818;22596
2715;1955;1141;13080;1196;1012;20350;21791
2498;1763;1056;12852;1054;911;19626;20501
2281;1598;997;12327;969;822;18671;19494
2114;1474;966;12022;927;780;17876;18789
2029;1399;954;11854;909;766;17535;18413
1981;1368;946;11805;906;766;17449;18236
