hour;dk1;dk2;ee;fi;lt;lv;no;se
13 - 14;0.629473684;0.904;0.086666667;0.182172129;0.21;0.12;0.569680538;0.175567929
14 - 15;0.65;0.876;0.076666667;0.190991509;0.19;0.12;0.568577049;0.179731147
15 - 16;0.634736842;0.879;0.093333333;0.187569364;0.176666667;0.12;0.575927064;0.214044349
16 - 17;0.625263158;0.879;0.11;0.209538143;0.31;0.09;0.595985749;0.283694089
17 - 18;0.592105263;0.953;0.11;0.226612742;0.423333333;0.11;0.621125295;0.318270621
18 - 19;0.630526316;0.962;0.103333333;0.229775264;0.533333333;0.12;0.645678316;0.344508631
19 - 20;0.736052632;1;0.083333333;0.223970304;0.633333333;0.21;0.698567355;0.359649432
20 - 21;0.761578947;1;0.083333333;0.226060169;0.673333333;0.26;0.707798161;0.361815536
21 - 22;0.777105263;0.996;0.096666667;0.230238112;0.676666667;0.32;0.714687228;0.37095642
22 - 23;0.768947368;0.973;0.11;0.246761094;0.65;0.3;0.702943592;0.366883407
23 - 00;0.729736842;1;0.153333333;0.260823942;0.67;0.34;0.694040427;0.352384438
00 - 01;0.693947368;0.993;0.143333333;0.274532336;0.613333333;0.3;0.696606385;0.402871786
01 - 02;0.658157895;0.97;0.13;0.285529169;0.67;0.35;0.688832203;0.438338715
02 - 03;0.630263158;0.948;0.17;0.282573032;0.61;0.38;0.678541032;0.457359939
03 - 04;0.614736842;0.946;0.2;0.301941891;0.683333333;0.38;0.676717638;0.469416072
04 - 05;0.602631579;0.916;0.206666667;0.325814844;0.716666667;0.37;0.664392476;0.474545849
05 - 06;0.593947368;0.9;0.226666667;0.330879053;0.723333333;0.3;0.655828269;0.473537439
06 - 07;0.596315789;0.902;0.18;0.34013855;0.733333333;0.26;0.653808563;0.4631099
07 - 08;0.581578947;0.875;0.15;0.353017529;0.733333333;0.18;0.636376285;0.452549907
08 - 09;0.581578947;0.858;0.096666667;0.36756068;0.723333333;0.18;0.622872124;0.429037424
09 - 10;0.564736842;0.823;0.066666667;0.363267731;0.71;0.15;0.59430483;0.395177649
10 - 11;0.552105263;0.86;0.046666667;0.363080796;0.723333333;0.2;0.592500022;0.365394803
11 - 12;0.57;0.874;0.06;0.368454694;0.726666667;0.21;0.59510846;0.34132538
12 - 13;0.598947368;0.879;0.09;0.373456543;0.726666667;0.21;0.600133927;0.322454414
13 - 14;0.599473684;0.849;0.196666667;0.383930452;0.726666667;0.26;0.582942094;0.300352597
14 - 15;0.564736842;0.854;0.316666667;0.396355573;0.73;0.47;0.567800868;0.284665761
15 - 16;0.520526316;0.861;0.363333333;0.412513969;0.736666667;0.47;0.548725823;0.264651154
16 - 17;0.503157895;0.84;0.37;0.415169318;0.733333333;0.45;0.526722817;0.237010556
17 - 18;0.496315789;0.836;0.423333333;0.404389491;0.726666667;0.43;0.519291257;0.225557982
18 - 19;0.513684211;0.822;0.476666667;0.403827518;0.706666667;0.42;0.518914826;0.221060268
19 - 20;0.513947368;0.806;0.486666667;0.392735598;0.69;0.4;0.517868942;0.233659459
20 - 21;0.506315789;0.744;0.44;0.388752997;0.64;0.39;0.498954562;0.246547897
21 - 22;0.525;0.682;0.43;0.392008724;0.59;0.36;0.489090963;0.260272888
22 - 23;0.505;0.656;0.4;0.386090025;0.516666667;0.33;0.478392027;0.274176082
23 - 00;0.49;0.521;0.42;0.369610411;0.453333333;0.32;0.433354806;0.289064418
00 - 01;0.506842105;0.58;0.386666667;0.364328909;0.403333333;0.29;0.46328324;0.303007616
01 - 02;0.497631579;0.586;0.356666667;0.353626851;0.28;0.23;0.462640301;0.304289323
02 - 03;0.501578947;0.62;0.333333333;0.348774077;0.25;0.18;0.48076977;0.320730361
03 - 04;0.495526316;0.631;0.306666667;0.34152186;0.206666667;0.14;0.483434545;0.323777318
04 - 05;0.505;0.487;0.243333333;0.330990581;0.193333333;0.11;0.440475803;0.32942741
05 - 06;0.509736842;0.571;0.21;0.302720213;0.16;0.09;0.475781515;0.346607701
06 - 07;0.506052632;0.596;0.146666667;0.296710457;0.266666667;0.07;0.484956193;0.352815947
07 - 08;0.501842105;0.628;0.126666667;0.301810632;0.133333333;0.05;0.498602466;0.365965292
08 - 09;0.505263158;0.651;0.086666667;0.30753384;0.1;0.06;0.505181891;0.359282515
09 - 10;0.495;0.672;0.083333333;0.312525602;0.16;0.06;0.512216837;0.36965051
10 - 11;0.447894737;0.681;0.056666667;0.305195168;0.376666667;0.04;0.497691546;0.364179902
11 - 12;0.381842105;0.75;0.036666667;0.301345247;0.546666667;0.13;0.493651556;0.349112564
12 - 13;0.358947368;0.781;0.036666667;0.306424887;0.583333333;0.19;0.488605288;0.325868494
