hour;dk1;dk2;ee;fi;lt;lv;no;se
23 - 00;0;0;2.73333E-05;2.73333E-05;2.73333E-05;2.73333E-05;2.73333E-05;0.000082
00 - 01;0;0;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;0.00005
01 - 02;0;0;1.46667E-05;1.46667E-05;1.46667E-05;1.46667E-05;1.46667E-05;0.000044
02 - 03;0;0;1.13333E-05;1.13333E-05;1.13333E-05;1.13333E-05;1.13333E-05;0.000034
03 - 04;0;0;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;0.000067
04 - 05;0;0;2.06667E-05;2.06667E-05;2.06667E-05;2.06667E-05;2.06667E-05;0.000062
05 - 06;0;0;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;0.000061
06 - 07;0;0;2.36667E-05;2.36667E-05;2.36667E-05;2.36667E-05;2.36667E-05;0.000071
07 - 08;0;0;3.47333E-05;3.47333E-05;3.47333E-05;3.47333E-05;3.47333E-05;0.0001042
08 - 09;0;0;3.23333E-05;3.23333E-05;3.23333E-05;3.23333E-05;3.23333E-05;0.000097
09 - 10;0.0175;0.015;0.010896037;0.010896037;0.010896037;0.010896037;0.010896037;0.00018811
10 - 11;0.07;0.045;0.03886796;0.03886796;0.03886796;0.03886796;0.03886796;0.00160388
11 - 12;0.1125;0.055;0.056452867;0.056452867;0.056452867;0.056452867;0.056452867;0.0018586
12 - 13;0.135;0.055;0.064135203;0.064135203;0.064135203;0.064135203;0.064135203;0.00240561
13 - 14;0.09;0.055;0.04877719;0.04877719;0.04877719;0.04877719;0.04877719;0.00133157
14 - 15;0.0475;0.035;0.02771313;0.02771313;0.02771313;0.02771313;0.02771313;0.00063939
15 - 16;0.0125;0.01;0.007531843;0.007531843;0.007531843;0.007531843;0.007531843;0.00009553
16 - 17;0;0;1.06433E-05;1.06433E-05;1.06433E-05;1.06433E-05;1.06433E-05;0.00003193
17 - 18;0;0;0.00001231;0.00001231;0.00001231;0.00001231;0.00001231;0.00003693
18 - 19;0;0;0.00001631;0.00001631;0.00001631;0.00001631;0.00001631;0.00004893
19 - 20;0;0;2.26433E-05;2.26433E-05;2.26433E-05;2.26433E-05;2.26433E-05;0.00006793
20 - 21;0;0;0.00001331;0.00001331;0.00001331;0.00001331;0.00001331;0.00003993
21 - 22;0;0;1.09767E-05;1.09767E-05;1.09767E-05;1.09767E-05;1.09767E-05;0.00003293
22 - 23;0;0;1.59767E-05;1.59767E-05;1.59767E-05;1.59767E-05;1.59767E-05;0.00004793
23 - 00;0;0;1.59767E-05;1.59767E-05;1.59767E-05;1.59767E-05;1.59767E-05;0.00004793
00 - 01;0;0;1.99767E-05;1.99767E-05;1.99767E-05;1.99767E-05;1.99767E-05;0.00005993
01 - 02;0;0;1.89767E-05;1.89767E-05;1.89767E-05;1.89767E-05;1.89767E-05;0.00005693
02 - 03;0;0;1.53333E-05;1.53333E-05;1.53333E-05;1.53333E-05;1.53333E-05;0.000046
03 - 04;0;0;1.76667E-05;1.76667E-05;1.76667E-05;1.76667E-05;1.76667E-05;0.000053
04 - 05;0;0;1.43333E-05;1.43333E-05;1.43333E-05;1.43333E-05;1.43333E-05;0.000043
05 - 06;0;0;8.33333E-06;8.33333E-06;8.33333E-06;8.33333E-06;8.33333E-06;0.000025
06 - 07;0;0;1.26667E-05;1.26667E-05;1.26667E-05;1.26667E-05;1.26667E-05;0.000038
07 - 08;0;0;1.03333E-05;1.03333E-05;1.03333E-05;1.03333E-05;1.03333E-05;0.000031
08 - 09;0;0;1.13333E-05;1.13333E-05;1.13333E-05;1.13333E-05;1.13333E-05;0.000034
09 - 10;0.0025;0.005;0.002518133;0.002518133;0.002518133;0.002518133;0.002518133;0.0000544
10 - 11;0.015;0.015;0.01004396;0.01004396;0.01004396;0.01004396;0.01004396;0.00013188
11 - 12;0.025;0.02;0.01508672;0.01508672;0.01508672;0.01508672;0.01508672;0.00026016
12 - 13;0.0375;0.025;0.02091561;0.02091561;0.02091561;0.02091561;0.02091561;0.00024683
